trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",30,13,5.097968715217806,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",20,2,-7.003665203279617,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",30,15,-17.723883017080247,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,6,5.750116560993129,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",25,13,-40.21062588794709,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",25,9,-21.57688435131356,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,10,5.525692105260266,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,16,-6.233269985584401,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,-9,-6.870221777904479,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",20,5,-2.453657858005442,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",25,4,36.4400511889488,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",30,20,19.63010322705932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",30,20,-1.8643381698091417,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",20,3,7.100783097610297,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",20,16,8.316036405435817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,8,-22.13514478057074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,8,11.775771635535367,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,5,4.326718435700324,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",25,11,18.146511397225723,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,9,-13.78246941799025,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",20,13,-23.615601089363157,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",30,18,25.44750987740071,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,9,12.258923891668402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",25,-13,-13.453532146126307,"{0: 31, 1: 2, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",20,11,-67.84878677334956,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",20,13,10.502694304974275,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,0,20.15469224054392,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",20,13,12.45399225483748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",25,19,5.147494538708299,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",30,7,-36.71070958993104,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",25,20,8.56005307482317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",20,11,0.010178201271409115,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",20,-2,-17.072061351164205,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",0
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",25,2,-10.372825808535563,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",30,-10,8.068265668639082,"{0: 37, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",20,8,-29.337859164793944,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",20,14,12.526091669619042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",25,2,-13.70349958550915,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",25,8,19.639533572232533,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",25,7,20.60399937737484,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",20,-17,-12.44771063432113,"{0: 33, 1: 0, 2: 3, 3: 0, 4: 1}",0
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",20,14,10.772580379369714,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",25,16,-21.722099621912193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",20,-12,13.133376747331091,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",20,3,14.832298068025654,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",20,9,10.997139090920122,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",25,-7,7.156777856341998,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 0}",0
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",20,12,-27.450912279251074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",25,5,33.83120622521696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",20,8,12.24702564724385,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",35,17,26.008459780011943,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",25,13,25.03700424880588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",20,10,-35.843811076489814,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",30,15,2.165257435509013,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",25,-3,-37.80309181649839,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 1}",0
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",20,4,5.02453720719512,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",35,13,44.997349334502,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",25,2,18.269420891728956,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",25,-2,-69.79536437411497,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",25,17,8.568010843495799,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,15,8.663805512707073,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",20,10,-15.514088804981318,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",20,10,16.80692220303577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",30,16,24.165186032849984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",20,8,23.099190019405434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",25,6,0.6629328301203419,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",20,14,12.77363528801997,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",20,3,12.503028941420975,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.8411376148446232, 'e': 0.17728440996987782}",30,21,22.784650989461753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8402968976584314, 'e': 0.1755204006169969}",25,-6,10.070686618642934,"{0: 27, 1: 2, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.8394570207692074, 'e': 0.17377394345044514}",20,2,-27.870985307429923,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.838617983337074, 'e': 0.17204486382305054}",25,14,9.602808468660085,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.8377797845229938, 'e': 0.17033298882540945}",20,15,-0.3701954533404481,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8369424234887681, 'e': 0.16863814726859552}",20,12,5.937788728134338,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8361058993970355, 'e': 0.16696016966704072}",20,14,9.558525178042682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.835270211411272, 'e': 0.16529888822158656}",20,9,8.845278489259826,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.8344353586957896, 'e': 0.16365413680270408}",20,10,5.473008030046232,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.8336013404157353, 'e': 0.16202575093388077}",25,8,5.691889698067145,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.832768155737091, 'e': 0.16041356777517277}",20,10,19.139033080635713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8319358038266718, 'e': 0.1588174261069207}",20,16,8.124269012041209,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8311042838521256, 'e': 0.1572371663136276}",30,10,30.920929128084,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8302735949819328, 'e': 0.1556726303679973}",20,9,20.76538024636348,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8294437363854039, 'e': 0.15412366181513143}",25,13,-3.8235899064730594,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.8286147072326806, 'e': 0.15259010575688386}",30,8,13.179423572576457,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
189,False,"{'a': 0.8277865066947336, 'e': 0.15107180883637084}",20,12,18.44331400258191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8269591339433623, 'e': 0.14956861922263504}",20,-1,27.499489483053825,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.8261325881511938, 'e': 0.14808038659546244}",25,0,21.762997681796264,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.8253068684916824, 'e': 0.14660696213035015}",25,12,-11.75642215398036,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
193,False,"{'a': 0.8244819741391082, 'e': 0.14514819848362376}",35,22,23.842854232955286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8236579042685769, 'e': 0.14370394977770296}",30,15,0.3576357494491158,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.8228346580560184, 'e': 0.1422740715865136}",25,15,-20.725051979224975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.8220122346781865, 'e': 0.140858420921045}",20,-13,31.179117843696595,"{0: 31, 1: 1, 2: 0, 3: 1, 4: 0}",0
197,False,"{'a': 0.821190633312658, 'e': 0.13945685621505094}",25,20,8.520700883676803,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8203698531378311, 'e': 0.13806923731089282}",30,15,-15.123618212769145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
199,False,"{'a': 0.8195498933329256, 'e': 0.13669542544552388}",30,6,-6.2249546451718425,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.8187307530779818, 'e': 0.1353352832366127}",20,-15,51.54773403991167,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.8179124315538594, 'e': 0.13398867466880496}",20,5,26.321465580178014,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8170949279422366, 'e': 0.13265546508012174}",20,12,11.178846783949917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8162782414256099, 'e': 0.13133552114849306}",20,8,24.568203374709825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8154623711872927, 'e': 0.13002871087842593}",20,11,14.50930869275332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8146473164114145, 'e': 0.12873490358780426}",30,9,14.216309831055199,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.8138330762829207, 'e': 0.12745396989482075}",25,12,24.909060368766994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.813019649987571, 'e': 0.12618578170503877}",20,7,23.29606986306977,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8122070367119391, 'e': 0.12493021219858243}",25,15,11.217621913284571,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.8113952356434114, 'e': 0.12368713581745484}",20,11,-17.77461501654441,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
210,False,"{'a': 0.8105842459701871, 'e': 0.12245642825298192}",25,13,21.96996182689043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8097740668812763, 'e': 0.1212379664333817}",20,16,7.5788449379139085,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8089646975664999, 'e': 0.12003162851145674}",20,9,-15.043032647535888,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.8081561372164884, 'e': 0.11883729385240967}",20,15,12.094726240294113,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8073483850226815, 'e': 0.1176548430217792}",20,11,-0.35822704529796434,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.8065414401773269, 'e': 0.11648415777349698}",30,15,27.87031124599087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8057353018734796, 'e': 0.11532512103806253}",20,13,13.4355669689779,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.8049299693050015, 'e': 0.11417761691083651}",20,12,-5.839034770424066,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.8041254416665596, 'e': 0.11304153064044986}",20,13,15.314556578027169,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8033217181536265, 'e': 0.11191674861732889}",25,15,21.863873966823107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.8025187979624785, 'e': 0.11080315836233387}",20,10,4.462225938786517,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.8017166802901953, 'e': 0.10970064851551142}",25,14,21.483695939439734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.8009153643346592, 'e': 0.10860910882495797}",20,-22,18.329980595716506,"{0: 40, 1: 0, 2: 1, 3: 0, 4: 1}",0
223,False,"{'a': 0.8001148492945541, 'e': 0.10752843013579497}",20,8,22.941087225051767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.7993151343693651, 'e': 0.10645850437925282}",25,18,15.947094118501987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7985162187593771, 'e': 0.10539922456186435}",30,18,25.270341218176657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7977181016656743, 'e': 0.10435048475476501}",25,20,10.157100439371824,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.7969207822901396, 'e': 0.10331218008310021}",20,14,-2.2789865899063564,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.7961242598354538, 'e': 0.10228420671553745}",25,12,28.081520709209983,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.795328533505094, 'e': 0.10126646185388341}",25,11,22.526875191957018,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.794533602503334, 'e': 0.10025884372280372}",20,12,6.92204863200743,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.7937394660352428, 'e': 0.09926125155964566}",25,19,14.53424846668213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.7929461233066837, 'e': 0.09827358560436156}",20,14,12.295038647155902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.792153573524314, 'e': 0.09729574708953277}",30,13,34.01129419997131,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.7913618158955839, 'e': 0.09632763823049305}",20,6,28.139741168150756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7905708496287356, 'e': 0.09536916221554963}",25,-8,57.47515535660479,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.7897806739328027, 'e': 0.09442022319630236}",20,9,-29.08874511894479,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
237,False,"{'a': 0.7889912880176096, 'e': 0.09348072627805848}",25,-5,48.82818365111861,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
238,False,"{'a': 0.7882026910937704, 'e': 0.0925505775103433}",30,16,25.244582105464872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.7874148823726879, 'e': 0.09162968387750485}",25,11,25.43278351447467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.7866278610665535, 'e': 0.09071795328941253}",20,9,21.6852036715606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.7858416263883455, 'e': 0.08981529457224764}",35,26,8.785314353918785,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.7850561775518295, 'e': 0.08892161745938636}",20,12,13.50269149933894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.7842715137715565, 'e': 0.08803683258237256}",20,8,17.766391467959618,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.7834876342628625, 'e': 0.08716085146198131}",30,13,18.165202718983053,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.7827045382418681, 'e': 0.08629358649937051}",30,21,19.395863583982894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.7819222249254772, 'e': 0.08543495096732125}",20,14,11.74809712307517,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.7811406935313765, 'e': 0.0845848590015647}",25,15,20.243212960221747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.7803599432780343, 'e': 0.08374322559219596}",20,7,7.391189583471189,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.7795799733847004, 'e': 0.08290996657517267}",25,17,15.707529444915101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.7788007830714049, 'e': 0.0820849986238988}",20,16,7.367517760904278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.7780223715589574, 'e': 0.08126823924089169}",25,12,26.045606751490947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.7772447380689461, 'e': 0.08045960674953244}",25,11,23.427340084829478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.7764678818237378, 'e': 0.07965902028589801}",30,17,25.3989096971466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.775691802046476, 'e': 0.07886639979067496}",30,18,-19.749954810637213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
255,False,"{'a': 0.774916497961081, 'e': 0.07808166600115314}",20,13,12.054618125514974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.7741419687922484, 'e': 0.07730474044329975}",20,13,12.816986439597843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.7733682137654491, 'e': 0.07653554542391153}",20,10,18.708080132166504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.772595232106928, 'e': 0.07577400402284548}",20,8,24.068008222390013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.7718230230437035, 'e': 0.07502004008532698}",25,8,29.99032721014464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.7710515858035663, 'e': 0.07427357821433389}",35,25,17.166421529210112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.7702809196150792, 'e': 0.07353454376305711}",25,15,10.845317041486004,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.7695110237075758, 'e': 0.0728028628274356}",20,-3,32.30400207189331,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",0
263,False,"{'a': 0.7687418973111603, 'e': 0.07207846223876611}",25,14,25.58285586467744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.7679735396567062, 'e': 0.07136126955638607}",30,18,-9.499314591793787,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
265,False,"{'a': 0.7672059499758557, 'e': 0.0706512130604296}",30,19,20.306650008935755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.7664391275010192, 'e': 0.06994822174465536}",25,12,8.089991614816768,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.7656730714653739, 'e': 0.069252225309346}",20,10,10.114344708207287,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
